상품번호,상품명_기본,자체상품코드,카테고리 코드,이미지 저장소,이미지 경로,페이스북 광고 제품 피드 이미지명
1000000021,미우미우 네이비 피코트,40100001,"002001001
002
002001",local,20/01/02/1000000021/,fbGoods_049.jpg
1000000022,슈프림 x 일루미나이트 바람막이,40100002,"002001001
002
002001",local,20/01/02/1000000022/,fbGoods_031.jpg
1000000023,슈프림 x 노스페이스 익스페디션 부클레 패딩,40100003,"002001001
002
002001",local,20/01/02/1000000023/,fbGoods_051.jpg
1000000024,슈프림 스타디움 패딩,40100004,"002001001
002
002001",local,20/01/02/1000000024/,fbGoods_074.jpg
1000000027,슈프림 고어텍스 자켓,40100007,"002001001
002
002001",local,20/01/02/1000000027/,fbGoods_026.jpg
1000000028,몽클레어 자켓,40100008,"002001001
002
002001",local,20/01/02/1000000028/,fbGoods_045.jpg
1000000029,에르메스 자켓,40100009,"002001001
002
002001",local,20/01/02/1000000029/,fbGoods_096.jpg
1000000030,릭오웬스 자켓,40100010,"002001001
002
002001",local,20/01/02/1000000030/,fbGoods_050.jpg
1000000035,몽클레어 자켓,40100013,"002001001
002
002001",local,20/01/02/1000000035/,fbGoods_011.jpg
1000000036,스톤 아일랜드 자켓,40100014,"002001001
002
002001",local,20/01/02/1000000036/,fbGoods_018.jpg
1000000038,닐바렛 코트,40100016,"002001001
002
002001",local,20/01/02/1000000038/,fbGoods_0100.jpg
1000000040,드리스 반 노튼 후드 집업,40100018,"002001001
002
002001",local,20/01/02/1000000040/,fbGoods_091.jpg
1000000043,드리스 반 노튼 후드 집업,40100021,"002001001
002
002001",local,20/01/02/1000000043/,fbGoods_050.jpg
1000000044,드리스 반 노튼 자켓,40100022,"002001001
002
002001",local,20/01/02/1000000044/,fbGoods_013.jpg
1000000047,꼼데가르송 옴므 플러스 코트,40100025,"002001001
002
002001",local,20/01/02/1000000047/,fbGoods_044.jpg
1000000048,프라다 자켓,40100026,"002001001
002
002001",local,20/01/02/1000000048/,fbGoods_03.jpg
1000000050,캐나다구스 랭포드 패딩 블루,40100028,"002001001
002
002001",local,20/01/02/1000000050/,fbGoods_080.jpg
1000000052,몽클레어 로덴버그 후드 패딩,40100030,"002001001
002
002001",local,20/01/02/1000000052/,fbGoods_058.jpg
1000000056,3.1 필립 림 스티치 포인트 블랙 블레이저,40100034,"002001001
002
002001",local,20/01/02/1000000056/,fbGoods_042.jpg
1000000057,띠어리 코트,40100035,"002001001
002
002001",local,20/01/02/1000000057/,fbGoods_026.jpg
1000000058,드리스 반 노튼 리버시블 캐주얼 자켓,40100036,"002001001
002
002001",local,20/01/02/1000000058/,fbGoods_060.jpg
1000000060,맥케이지 딕슨 패딩,40100038,"002001001
002
002001",local,20/01/02/1000000060/,fbGoods_017.jpg
1000000061,프라다 봄버 재킷,40100039,"002001001
002
002001",local,20/01/02/1000000061/,fbGoods_05.jpg
1000000062,아크네 반팔 탑,40200001,"002001002
002
002001",local,20/01/02/1000000062/,fbGoods_084.jpg
1000000063,아미 스트라이프 반팔 탑,40200002,"002001002
002
002001",local,20/01/02/1000000063/,fbGoods_0100.jpg
1000000064,아미 도트 프린트 반팔 탑,40200003,"002001002
002
002001",local,20/01/02/1000000064/,fbGoods_023.jpg
1000000065,발망 반팔 탑,40200004,"002001002
002
002001",local,20/01/02/1000000065/,fbGoods_022.jpg
1000000066,디스퀘어드2 멤피스 반팔 티셔츠,40200005,"002001002
002
002001",local,20/01/02/1000000066/,fbGoods_041.jpg
1000000067,헬무트 랭 86 프린트 반팔 티셔츠,40200006,"002001002
002
002001",local,20/01/02/1000000067/,fbGoods_072.jpg
1000000068,이놈어닛 지미 핸드릭스 머그샷 티셔츠 블랙,40200007,"002001002
002
002001",local,20/01/02/1000000068/,fbGoods_083.jpg
1000000069,이놈어닛 지미 핸드릭스 머그샷 반팔 티셔츠 화이트,40200008,"002001002
002
002001",local,20/01/02/1000000069/,fbGoods_050.jpg
1000000070,이놈어닛 파블로 에스코바르 머그샷 티셔츠 화이트,40200009,"002001002
002
002001",local,20/01/02/1000000070/,fbGoods_029.jpg
1000000071,이놈어닛 릴 우지 버트 콜라보 반팔 티셔츠,40200010,"002001002
002
002001",local,20/01/02/1000000071/,fbGoods_017.jpg
1000000072,준야 와타나베 루프 반팔 티셔츠,40200011,"002001002
002
002001",local,20/01/02/1000000072/,fbGoods_048.jpg
1000000073,랑방 블랙 반팔 티셔츠,40200012,"002001002
002
002001",local,20/01/02/1000000073/,fbGoods_083.jpg
1000000074,랑방 회색 스트라이프 리본 반팔 티셔츠,40200013,"002001002
002
002001",local,20/01/02/1000000074/,fbGoods_024.jpg
1000000075,모스키노 러브 모스키노 장식 반팔 티셔츠,40200014,"002001002
002
002001",local,20/01/02/1000000075/,fbGoods_068.jpg
1000000076,MSGM 어니스트 블랙 반팔 티셔츠,40200015,"002001002
002
002001",local,20/01/02/1000000076/,fbGoods_049.jpg
1000000077,MSGM 어니스트 네온 오렌지 티셔츠,40200016,"002001002
002
002001",local,20/01/02/1000000077/,fbGoods_022.jpg
1000000078,MSGM 로고 패턴 프린트 반팔 티셔츠,40200017,"002001002
002
002001",local,20/01/02/1000000078/,fbGoods_016.jpg
1000000079,닐바렛 빅 페이스 반팔 티셔츠,40200018,"002001002
002
002001",local,20/01/02/1000000079/,fbGoods_099.jpg
1000000080,닐바렛 아인슈타인 조각상 블랙 티셔츠,40200019,"002001002
002
002001",local,20/01/02/1000000080/,fbGoods_028.jpg
1000000081,닐바렛 프리덤 파이터 시리즈 넘버쓰리 반팔 티셔츠,40200020,"002001002
002
002001",local,20/01/02/1000000081/,fbGoods_037.jpg
1000000082,닐바렛 시드 맥퀸 하이브리드 머그샷 반팔 티셔츠,40200021,"002001002
002
002001",local,20/01/02/1000000082/,fbGoods_06.jpg
1000000083,닐바렛 레오파드 스트라이프 반팔 티셔츠,40200022,"002001002
002
002001",local,20/01/02/1000000083/,fbGoods_097.jpg
1000000084,닐바렛 갱 뱃지 티셔츠,40200023,"002001002
002
002001",local,20/01/02/1000000084/,fbGoods_094.jpg
1000000085,닐바렛 라운드 넥 베이직 반팔 티셔츠,40200024,"002001002
002
002001",local,20/01/02/1000000085/,fbGoods_095.jpg
1000000086,닐바렛 프리덤 파이터 넘버원 반팔 티셔츠,40200025,"002001002
002
002001",local,20/01/02/1000000086/,fbGoods_06.jpg
1000000087,라프 시몬스 프린트 반팔 티셔츠,40200026,"002001002
002
002001",local,20/01/02/1000000087/,fbGoods_050.jpg
1000000088,라프 시몬스 레터링 반팔 티셔츠,40200027,"002001002
002
002001",local,20/01/02/1000000088/,fbGoods_098.jpg
1000000089,생로랑 그린 카모 반팔 티셔츠,40200028,"002001002
002
002001",local,20/01/02/1000000089/,fbGoods_076.jpg
1000000090,스텔라 맥카트니 UFO 프린트 반팔 티셔츠,40200029,"002001002
002
002001",local,20/01/02/1000000090/,fbGoods_08.jpg
1000000091,스텔라 맥카트니 레터링 반팔 티셔츠,40200030,"002001002
002
002001",local,20/01/02/1000000091/,fbGoods_018.jpg
1000000092,알렉산더 왕 하이 트위스트 롱슬리브 긴팔 티셔츠,40200031,"002001002
002
002001",local,20/01/02/1000000092/,fbGoods_092.jpg
1000000093,MSGM 하이넥 로고 롱 슬리브,40200032,"002001002
002
002001",local,20/01/02/1000000093/,fbGoods_071.jpg
1000000094,슈프림 야구 코듀로이 반팔 저지 티셔츠,40200033,"002001002
002
002001",local,20/01/02/1000000094/,fbGoods_036.jpg
1000000095,디스퀘어드2 단가라 반팔 티셔츠,40200034,"002001002
002
002001",local,20/01/02/1000000095/,fbGoods_083.jpg
1000000097,구찌 타이거 폴로 셔츠,40200036,"002001002
002
002001",local,20/01/02/1000000097/,fbGoods_034.jpg
1000000098,발렌시아가 로고 반팔 티셔츠 화이트,40200037,"002001002
002
002001",local,20/01/02/1000000098/,fbGoods_083.jpg
1000000099,오프화이트 멀티컬러 반팔 티셔츠,40200038,"002001002
002
002001",local,20/01/02/1000000099/,fbGoods_074.jpg
1000000100,오프화이트 멀티컬러 반팔 티셔츠,40200039,"002001002
002
002001",local,20/01/02/1000000100/,fbGoods_073.jpg
1000000101,구찌 양키스 폴로 화이트 반팔 카라티,40200040,"002001002
002
002001",local,20/01/02/1000000101/,fbGoods_016.jpg
1000000102,베르사체 블랙 로고 반팔 티셔츠,40200041,"002001002
002
002001",local,20/01/02/1000000102/,fbGoods_076.jpg
1000000103,베르사체 블루 로고 반팔 티셔츠,40200042,"002001002
002
002001",local,20/01/02/1000000103/,fbGoods_058.jpg
1000000104,발렌시아가 화이트 로고 반팔 티셔츠,40200043,"002001002
002
002001",local,20/01/02/1000000104/,fbGoods_019.jpg
1000000105,알렉산더 맥퀸 페이즐리 스컬 프린트 반팔 티셔츠,40200044,"002001002
002
002001",local,20/01/02/1000000105/,fbGoods_047.jpg
1000000106,알렉산더 맥퀸 페이즐리 스컬 프린트 반팔 티셔츠,40200045,"002001002
002
002001",local,20/01/02/1000000106/,fbGoods_064.jpg
1000000107,슈프림 블랙 자카드 로고 야구 반팔 저지 티셔츠,40200046,"002001002
002
002001",local,20/01/02/1000000107/,fbGoods_025.jpg
